text,mood
Everything seems absolutely bright,excited
I feel incredibly dynamic,excited
This makes me extremely vibrate,excited
I'm totally exuberant,excited
Today brings so excitement,excited
I feel really spirited,excited
This is incredibly electrifying,excited
I'm absolutely passionate,excited
Life feels extremely adventurous,excited
I feel very motivated,excited
I'm feeling calm and peaceful,calm
Everything is under control,calm
I feel relaxed and serene,calm
This brings me inner peace,calm
I'm in a state of tranquility,calm
My mind is clear and focused,calm
I feel centered and balanced,calm
This soothes my soul,calm
I'm at peace with myself,calm
Everything feels harmonious,calm
I feel grounded and stable,calm
My breathing is slow and steady,calm
I'm in my zen zone,calm
This brings me serenity,calm
I feel completely at ease,calm
My stress has melted away,calm
I'm feeling very composed,calm
This creates perfect stillness,calm
I'm in a meditative state,calm
Everything feels just right,calm
I am extremely calm today,calm
This makes me incredibly peaceful,calm
I feel totally relaxed,calm
This is absolutely soothing,calm
I'm completely serene,calm
This situation is utterly tranquil,calm
I feel really composed,calm
This makes me very zen,calm
I'm quite centered,calm
This is extremely harmonious,calm
I feel so balanced,calm
This brings me incredible peace,calm
I'm absolutely steady,calm
Everything feels totally stable,calm
I feel completely grounded,calm
This is really meditative,calm
I'm very still,calm
Everything seems absolutely quiet,calm
I feel incredibly undisturbed,calm
This makes me extremely mellow,calm
I'm totally placid,calm
Today brings so calmness,calm
I feel really untroubled,calm
This is incredibly restful,calm
I'm absolutely collected,calm
Life feels extremely gentle,calm
I feel very at ease,calm
I love spending time with family,love
This person means everything to me,love
I feel so much affection and care,love
My heart is full of love,love
This relationship brings me joy,love
I'm head over heels in love,love
My heart belongs to you,love
I cherish every moment together,love
You complete me perfectly,love
I'm deeply in love,love
This love fills my entire being,love
You are my everything,love
I adore you with all my heart,love
This love is pure and true,love
I'm madly in love,love
You make my heart skip beats,love
I'm devoted to you completely,love
This love is unconditional,love
You are my soulmate,love
I love you more than words,love
I am extremely in love,love
This makes me incredibly affectionate,love
I feel totally devoted,love
This is absolutely romantic,love
I'm completely smitten,love
This relationship is utterly perfect,love
I feel really passionate,love
This makes me very warm,love
I'm quite tender,love
This is extremely beautiful,love
I feel so connected,love
This brings me incredible intimacy,love
I'm absolutely caring,love
Everything feels totally right,love
I feel completely cherished,love
This is really magical,love
I'm very loving,love
Everything seems absolutely wonderful,love
I feel incredibly bonded,love
This makes me extremely adore,love
I'm totally romantic,love
Today brings so love,love
I feel really attached,love
This is incredibly heartwarming,love
I'm absolutely devoted,love
Life feels extremely loving,love
I feel very treasured,love
I'm feeling lonely and isolated,lonely
Nobody understands me,lonely
I wish I had someone to talk to,lonely
I feel disconnected from everyone,lonely
This emptiness is overwhelming,lonely
I feel so alone in this world,lonely
Nobody seems to care about me,lonely
I'm surrounded by people but feel alone,lonely
This loneliness is suffocating,lonely
I have no one to turn to,lonely
I feel abandoned and forgotten,lonely
This isolation is killing me,lonely
I'm starving for human connection,lonely
I feel like an outsider,lonely
Nobody gets me at all,lonely
I'm drowning in loneliness,lonely
This solitude is unbearable,lonely
I feel invisible to everyone,lonely
I'm aching for companionship,lonely
This emptiness consumes me,lonely
I am extremely lonely today,lonely
This makes me incredibly isolated,lonely
I feel totally alone,lonely
This is absolutely empty,lonely
I'm completely disconnected,lonely
This situation is utterly isolating,lonely
I feel really abandoned,lonely
This makes me very forgotten,lonely
I'm quite forsaken,lonely
This is extremely desolate,lonely
I feel so rejected,lonely
This brings me incredible solitude,lonely
I'm absolutely excluded,lonely
Everyone feels totally distant,lonely
I feel completely unwanted,lonely
This is really heartbreaking,lonely
I'm very isolated,lonely
Everything seems absolutely empty,lonely
I feel incredibly neglected,lonely
This makes me extremely withdrawn,lonely
I'm totally alienated,lonely
Today brings so loneliness,lonely
I feel really separated,lonely
This is incredibly isolating,lonely
I'm absolutely friendless,lonely
Life feels extremely solitary,lonely
I feel very cut off,lonely
I'm proud of my achievements,proud
I accomplished something great today,proud
This success makes me feel confident,proud
I'm satisfied with my progress,proud
My hard work has paid off,proud
I feel accomplished and fulfilled,proud
This victory belongs to me,proud
I've exceeded my own expectations,proud
I feel triumphant and victorious,proud
My efforts have been rewarded,proud
I'm beaming with pride,proud
This achievement means everything,proud
I feel validated and recognized,proud
I've proven myself today,proud
This success is well-deserved,proud
I feel confident in my abilities,proud
I've reached a new milestone,proud
This accomplishment fills me with joy,proud
I feel empowered and strong,proud
I've made myself proud today,proud
I am extremely proud today,proud
This makes me incredibly accomplished,proud
I feel totally successful,proud
This is absolutely triumphant,proud
I'm completely satisfied,proud
This achievement is utterly rewarding,proud
I feel really confident,proud
This makes me very victorious,proud
I'm quite fulfilled,proud
This is extremely validating,proud
I feel so empowered,proud
This brings me incredible recognition,proud
I'm absolutely honored,proud
Everything feels totally earned,proud
I feel completely worthy,proud
This is really deserved,proud
I'm very accomplished,proud
Everything seems absolutely right,proud
I feel incredibly capable,proud
This makes me extremely dignified,proud
I'm totally self-assured,proud
Today brings so pride,proud
I feel really distinguished,proud
This is incredibly satisfying,proud
I'm absolutely successful,proud
Life feels extremely rewarding,proud
I feel very respected,proud
I feel guilty about what I did,guilty
I should have done things differently,guilty
This mistake weighs heavily on me,guilty
I regret my actions completely,guilty
I feel responsible for this problem,guilty
I can't forgive myself,guilty
This guilt is eating me alive,guilty
I'm ashamed of my behavior,guilty
I wish I could undo this,guilty
This remorse is overwhelming,guilty
I feel terrible about hurting others,guilty
I'm consumed by self-blame,guilty
This guilt follows me everywhere,guilty
I can't escape this feeling,guilty
I'm drowning in regret,guilty
This shame is unbearable,guilty
I feel like a terrible person,guilty
I'm haunted by my mistakes,guilty
This guilt is destroying me,guilty
I carry this burden every day,guilty
I am extremely guilty today,guilty
This makes me incredibly ashamed,guilty
I feel totally regretful,guilty
This is absolutely wrong,guilty
I'm completely remorseful,guilty
This mistake is utterly unforgivable,guilty
I feel really responsible,guilty
This makes me very sorry,guilty
I'm quite repentant,guilty
This is extremely shameful,guilty
I feel so blameworthy,guilty
This brings me incredible remorse,guilty
I'm absolutely contrite,guilty
Everything feels totally wrong,guilty
I feel completely at fault,guilty
This is really inexcusable,guilty
I'm very penitent,guilty
Everything seems absolutely terrible,guilty
I feel incredibly culpable,guilty
This makes me extremely apologetic,guilty
I'm totally self-condemning,guilty
Today brings so guilt,guilty
I feel really conscience-stricken,guilty
This is incredibly burdensome,guilty
I'm absolutely mortified,guilty
Life feels extremely heavy,guilty
I feel very tormented,guilty
I am incredibly happy this morning,happy
This makes me absolutely joyful right now,happy
I feel completely elated at this moment,happy
Life is utterly wonderful currently,happy
I'm totally thrilled presently,happy
Everything is really amazing these days,happy
I feel quite blessed lately,happy
This makes me very cheerful recently,happy
I'm so delighted today,happy
Today is extremely fantastic right now,happy
I feel incredibly euphoric at this moment,happy
This brings me absolutely happiness currently,happy
I'm completely ecstatic presently,happy
Life couldn't be utterly better these days,happy
I feel really overjoyed lately,happy
This is quite exciting recently,happy
I'm very enthusiastic today,happy
Everything feels completely perfect right now,happy
I feel absolutely optimistic at this moment,happy
This makes me incredibly laugh currently,happy
I'm totally content presently,happy
Today brings really much joy these days,happy
I feel quite alive lately,happy
This is very beautiful recently,happy
I'm so grateful today,happy
Life is incredibly wonderful right now,happy
I feel absolutely energetic at this moment,happy
I am utterly sad about everything today,sad
This makes me completely heartbroken right now,sad
I feel totally devastated at this moment,sad
Life is really terrible currently,sad
I'm quite depressed presently,sad
Everything is very awful these days,sad
I feel so hopeless lately,sad
This makes me incredibly miserable recently,sad
I'm absolutely grief-stricken today,sad
Today is completely painful right now,sad
I feel totally broken at this moment,sad
This brings me really sorrow currently,sad
I'm quite crushed presently,sad
Life couldn't be very worse these days,sad
I feel so defeated lately,sad
This is incredibly heartbreaking recently,sad
I'm absolutely melancholy today,sad
Everything feels completely dark right now,sad
I feel totally lost at this moment,sad
This makes me really weep currently,sad
I'm quite despondent presently,sad
Today brings very much sadness these days,sad
I feel so hollow lately,sad
This is incredibly crushing recently,sad
I'm absolutely disappointed today,sad
Life is completely meaningless right now,sad
I feel totally empty at this moment,sad
I am really angry about everything today,angry
This makes me quite furious right now,angry
I feel very outraged at this moment,angry
Life is so unfair currently,angry
I'm incredibly mad presently,angry
Everything is absolutely infuriating these days,angry
I feel completely frustrated lately,angry
This makes me totally livid recently,angry
I'm really incensed today,angry
Today is quite annoying right now,angry
I feel very irritated at this moment,angry
This brings me so rage currently,angry
I'm incredibly fed up presently,angry
Life couldn't be absolutely more unfair these days,angry
I feel completely enraged lately,angry
This is totally maddening recently,angry
I'm really hostile today,angry
Everything feels quite wrong right now,angry
I feel very aggressive at this moment,angry
This makes me so boil currently,angry
I'm incredibly indignant presently,angry
Today brings absolutely much anger these days,angry
I feel completely resentful lately,angry
This is totally ridiculous recently,angry
I'm really wrathful today,angry
Life is quite frustrating right now,angry
I feel very steaming at this moment,angry
I am so scared about everything today,fearful
This makes me incredibly afraid right now,fearful
I feel absolutely anxious at this moment,fearful
Life is completely terrifying currently,fearful
I'm totally worried presently,fearful
Everything is really frightening these days,fearful
I feel quite nervous lately,fearful
This makes me very panicked recently,fearful
I'm so petrified today,fearful
Today is incredibly alarming right now,fearful
I feel absolutely threatened at this moment,fearful
This brings me completely dread currently,fearful
I'm totally apprehensive presently,fearful
Life couldn't be really more dangerous these days,fearful
I feel quite vulnerable lately,fearful
This is very disturbing recently,fearful
I'm so trembling today,fearful
Everything feels incredibly unsafe right now,fearful
I feel absolutely insecure at this moment,fearful
This makes me completely shudder currently,fearful
I'm totally horrified presently,fearful
Today brings really much fear these days,fearful
I feel quite uneasy lately,fearful
This is very spine-chilling recently,fearful
I'm so paranoid today,fearful
Life is incredibly unsafe right now,fearful
I feel absolutely terrorized at this moment,fearful
I am so excited about everything today,excited
This makes me incredibly thrilled right now,excited
I feel absolutely enthusiastic at this moment,excited
Life is completely amazing currently,excited
I'm totally pumped presently,excited
Everything is really exhilarating these days,excited
I feel quite energized lately,excited
This makes me very buzz recently,excited
I'm so electrified today,excited
Today is incredibly fantastic right now,excited
I feel absolutely animated at this moment,excited
This brings me completely anticipation currently,excited
I'm totally eager presently,excited
Life couldn't be really more possible these days,excited
I feel quite invigorated lately,excited
This is very stimulating recently,excited
I'm so charged up today,excited
Everything feels incredibly bright right now,excited
I feel absolutely dynamic at this moment,excited
This makes me completely vibrate currently,excited
I'm totally exuberant presently,excited
Today brings really much excitement these days,excited
I feel quite spirited lately,excited
This is very electrifying recently,excited
I'm so passionate today,excited
Life is incredibly adventurous right now,excited
I feel absolutely motivated at this moment,excited
I am completely calm about everything today,calm
This makes me totally peaceful right now,calm
I feel really relaxed at this moment,calm
Life is quite soothing currently,calm
I'm very serene presently,calm
Everything is so tranquil these days,calm
I feel incredibly composed lately,calm
This makes me absolutely zen recently,calm
I'm completely centered today,calm
Today is totally harmonious right now,calm
I feel really balanced at this moment,calm
This brings me quite peace currently,calm
I'm very steady presently,calm
Life couldn't be so more stable these days,calm
I feel incredibly grounded lately,calm
This is absolutely meditative recently,calm
I'm completely still today,calm
Everything feels totally quiet right now,calm
I feel really undisturbed at this moment,calm
This makes me quite mellow currently,calm
I'm very placid presently,calm
Today brings so much calmness these days,calm
I feel incredibly untroubled lately,calm
This is absolutely restful recently,calm
I'm completely collected today,calm
Life is totally gentle right now,calm
I feel really at ease at this moment,calm
I am so in love with everything today,love
This makes me incredibly affectionate right now,love
I feel absolutely devoted at this moment,love
Life is completely romantic currently,love
I'm totally smitten presently,love
Everything is really perfect these days,love
I feel quite passionate lately,love
This makes me very warm recently,love
I'm so tender today,love
Today is incredibly beautiful right now,love
I feel absolutely connected at this moment,love
This brings me completely intimacy currently,love
I'm totally caring presently,love
Life couldn't be really more right these days,love
I feel quite cherished lately,love
This is very magical recently,love
I'm so loving today,love
Everything feels incredibly wonderful right now,love
I feel absolutely bonded at this moment,love
This makes me completely adore currently,love
I'm totally romantic presently,love
Today brings really much love these days,love
I feel quite attached lately,love
This is very heartwarming recently,love
I'm so devoted today,love
Life is incredibly loving right now,love
I feel absolutely treasured at this moment,love
I am completely lonely about everything today,lonely
This makes me totally isolated right now,lonely
I feel really alone at this moment,lonely
Life is quite empty currently,lonely
I'm very disconnected presently,lonely
Everything is so isolating these days,lonely
I feel incredibly abandoned lately,lonely
This makes me absolutely forgotten recently,lonely
I'm completely forsaken today,lonely
Today is totally desolate right now,lonely
I feel really rejected at this moment,lonely
This brings me quite solitude currently,lonely
I'm very excluded presently,lonely
Life couldn't be so more distant these days,lonely
I feel incredibly unwanted lately,lonely
This is absolutely heartbreaking recently,lonely
I'm completely isolated today,lonely
Everything feels totally empty right now,lonely
I feel really neglected at this moment,lonely
This makes me quite withdrawn currently,lonely
I'm very alienated presently,lonely
Today brings so much loneliness these days,lonely
I feel incredibly separated lately,lonely
This is absolutely isolating recently,lonely
I'm completely friendless today,lonely
Life is totally solitary right now,lonely
I feel really cut off at this moment,lonely
I am so proud of everything today,proud
This makes me incredibly accomplished right now,proud
I feel absolutely successful at this moment,proud
Life is completely triumphant currently,proud
I'm totally satisfied presently,proud
Everything is really rewarding these days,proud
I feel quite confident lately,proud
This makes me very victorious recently,proud
I'm so fulfilled today,proud
Today is incredibly validating right now,proud
I feel absolutely empowered at this moment,proud
This brings me completely recognition currently,proud
I'm totally honored presently,proud
Life couldn't be really more earned these days,proud
I feel quite worthy lately,proud
This is very deserved recently,proud
I'm so accomplished today,proud
Everything feels incredibly right right now,proud
I feel absolutely capable at this moment,proud
This makes me completely dignified currently,proud
I'm totally self-assured presently,proud
Today brings really much pride these days,proud
I feel quite distinguished lately,proud
This is very satisfying recently,proud
I'm so successful today,proud
Life is incredibly rewarding right now,proud
I feel absolutely respected at this moment,proud
I am completely guilty about everything today,guilty
This makes me totally ashamed right now,guilty
I feel really regretful at this moment,guilty
Life is quite wrong currently,guilty
I'm very remorseful presently,guilty
Everything is so unforgivable these days,guilty
I feel incredibly responsible lately,guilty
This makes me absolutely sorry recently,guilty
I'm completely repentant today,guilty
Today is totally shameful right now,guilty
I feel really blameworthy at this moment,guilty
This brings me quite remorse currently,guilty
I'm very contrite presently,guilty
Life couldn't be so more wrong these days,guilty
I feel incredibly at fault lately,guilty
This is absolutely inexcusable recently,guilty
I'm completely penitent today,guilty
Everything feels totally terrible right now,guilty
I feel really culpable at this moment,guilty
This makes me quite apologetic currently,guilty
I'm very self-condemning presently,guilty
Today brings so much guilt these days,guilty
I feel incredibly conscience-stricken lately,guilty
This is absolutely burdensome recently,guilty
I'm completely mortified today,guilty
Life is totally heavy right now,guilty
I feel really tormented at this moment,guilty
I am utterly happy this morning,happy
This brings me complete joy this evening,happy
I'm absolutely ecstatic these days,happy
Life is totally wonderful lately,happy
I'm really blessed recently,happy
Everything feels quite perfect this morning,happy
I feel very cheerful this evening,happy
This makes me so delighted these days,happy
I'm incredibly elated lately,happy
Today is absolutely fantastic recently,happy
I feel completely euphoric this morning,happy
This brings me totally happiness this evening,happy
I'm really overjoyed these days,happy
Life couldn't be quite better lately,happy
I feel very excited recently,happy
This is so wonderful this morning,happy
I'm incredibly enthusiastic this evening,happy
Everything feels absolutely perfect these days,happy
I feel completely optimistic lately,happy
This makes me totally laugh recently,happy
I'm really content this morning,happy
Today brings quite much joy this evening,happy
I feel very alive these days,happy
This is so beautiful lately,happy
I'm incredibly grateful recently,happy
Life is absolutely wonderful this morning,happy
I feel completely energetic this evening,happy
I feel utterly sad this morning,sad
This brings me complete sorrow this evening,sad
I'm absolutely heartbroken these days,sad
Life is totally terrible lately,sad
I'm really hopeless recently,sad
Everything feels quite awful this morning,sad
I feel very miserable this evening,sad
This makes me so devastated these days,sad
I'm incredibly broken lately,sad
Today is absolutely painful recently,sad
I feel completely crushed this morning,sad
This brings me totally sadness this evening,sad
I'm really defeated these days,sad
Life couldn't be quite worse lately,sad
I feel very heartbreaking recently,sad
This is so melancholy this morning,sad
I'm incredibly dark this evening,sad
Everything feels absolutely lost these days,sad
I feel completely weep lately,sad
This makes me totally grief-stricken recently,sad
I'm really hollow this morning,sad
Today brings quite much sadness this evening,sad
I feel very crushing these days,sad
This is so disappointed lately,sad
I'm incredibly meaningless recently,sad
Life is absolutely empty this morning,sad
I feel completely despondent this evening,sad
I feel utterly angry this morning,angry
This brings me complete rage this evening,angry
I'm absolutely furious these days,angry
Life is totally unfair lately,angry
I'm really frustrated recently,angry
Everything feels quite infuriating this morning,angry
I feel very mad this evening,angry
This makes me so outraged these days,angry
I'm incredibly livid lately,angry
Today is absolutely annoying recently,angry
I feel completely incensed this morning,angry
This brings me totally anger this evening,angry
I'm really fed up these days,angry
Life couldn't be quite more unfair lately,angry
I feel very enraged recently,angry
This is so maddening this morning,angry
I'm incredibly hostile this evening,angry
Everything feels absolutely wrong these days,angry
I feel completely aggressive lately,angry
This makes me totally boil recently,angry
I'm really indignant this morning,angry
Today brings quite much anger this evening,angry
I feel very resentful these days,angry
This is so ridiculous lately,angry
I'm incredibly wrathful recently,angry
Life is absolutely frustrating this morning,angry
I feel completely steaming this evening,angry
I feel utterly fearful this morning,fearful
This brings me complete dread this evening,fearful
I'm absolutely afraid these days,fearful
Life is totally terrifying lately,fearful
I'm really worried recently,fearful
Everything feels quite frightening this morning,fearful
I feel very nervous this evening,fearful
This makes me so panicked these days,fearful
I'm incredibly petrified lately,fearful
Today is absolutely alarming recently,fearful
I feel completely threatened this morning,fearful
This brings me totally fear this evening,fearful
I'm really apprehensive these days,fearful
Life couldn't be quite more dangerous lately,fearful
I feel very vulnerable recently,fearful
This is so disturbing this morning,fearful
I'm incredibly trembling this evening,fearful
Everything feels absolutely unsafe these days,fearful
I feel completely insecure lately,fearful
This makes me totally shudder recently,fearful
I'm really horrified this morning,fearful
Today brings quite much fear this evening,fearful
I feel very uneasy these days,fearful
This is so spine-chilling lately,fearful
I'm incredibly paranoid recently,fearful
Life is absolutely unsafe this morning,fearful
I feel completely terrorized this evening,fearful
I feel utterly excited this morning,excited
This brings me complete anticipation this evening,excited
I'm absolutely thrilled these days,excited
Life is totally amazing lately,excited
I'm really pumped recently,excited
Everything feels quite exhilarating this morning,excited
I feel very energized this evening,excited
This makes me so buzz these days,excited
I'm incredibly electrified lately,excited
Today is absolutely fantastic recently,excited
I feel completely animated this morning,excited
This brings me totally excitement this evening,excited
I'm really eager these days,excited
Life couldn't be quite more possible lately,excited
I feel very invigorated recently,excited
This is so stimulating this morning,excited
I'm incredibly charged up this evening,excited
Everything feels absolutely bright these days,excited
I feel completely dynamic lately,excited
This makes me totally vibrate recently,excited
I'm really exuberant this morning,excited
Today brings quite much excitement this evening,excited
I feel very spirited these days,excited
This is so electrifying lately,excited
I'm incredibly passionate recently,excited
Life is absolutely adventurous this morning,excited
I feel completely motivated this evening,excited
I feel utterly calm this morning,calm
This brings me complete peace this evening,calm
I'm absolutely peaceful these days,calm
Life is totally soothing lately,calm
I'm really serene recently,calm
Everything feels quite tranquil this morning,calm
I feel very composed this evening,calm
This makes me so zen these days,calm
I'm incredibly centered lately,calm
Today is absolutely harmonious recently,calm
I feel completely balanced this morning,calm
This brings me totally calmness this evening,calm
I'm really steady these days,calm
Life couldn't be quite more stable lately,calm
I feel very grounded recently,calm
This is so meditative this morning,calm
I'm incredibly still this evening,calm
Everything feels absolutely quiet these days,calm
I feel completely undisturbed lately,calm
This makes me totally mellow recently,calm
I'm really placid this morning,calm
Today brings quite much calmness this evening,calm
I feel very untroubled these days,calm
This is so restful lately,calm
I'm incredibly collected recently,calm
Life is absolutely gentle this morning,calm
I feel completely at ease this evening,calm
I am utterly happy this morning,happy
This brings me complete joy this evening,happy
I'm absolutely ecstatic these days,happy
Life is totally wonderful lately,happy
I'm really blessed recently,happy
Everything feels quite perfect this morning,happy
I feel very cheerful this evening,happy
This makes me so delighted these days,happy
I'm incredibly elated lately,happy
Today is absolutely fantastic recently,happy
I feel completely euphoric this morning,happy
This brings me totally happiness this evening,happy
I'm really overjoyed these days,happy
Life couldn't be quite better lately,happy
I feel very excited recently,happy
This is so wonderful this morning,happy
I'm incredibly enthusiastic this evening,happy
Everything feels absolutely perfect these days,happy
I feel completely optimistic lately,happy
This makes me totally laugh recently,happy
I'm really content this morning,happy
Today brings quite much joy this evening,happy
I feel very alive these days,happy
This is so beautiful lately,happy
I'm incredibly grateful recently,happy
Life is absolutely wonderful this morning,happy
I feel completely energetic this evening,happy
I feel utterly sad this morning,sad
This brings me complete sorrow this evening,sad
I'm absolutely heartbroken these days,sad
Life is totally terrible lately,sad
I'm really hopeless recently,sad
Everything feels quite awful this morning,sad
I feel very miserable this evening,sad
This makes me so devastated these days,sad
I'm incredibly broken lately,sad
Today is absolutely painful recently,sad
I feel completely crushed this morning,sad
This brings me totally sadness this evening,sad
I'm really defeated these days,sad
Life couldn't be quite worse lately,sad
I feel very heartbreaking recently,sad
This is so melancholy this morning,sad
I'm incredibly dark this evening,sad
Everything feels absolutely lost these days,sad
I feel completely weep lately,sad
This makes me totally grief-stricken recently,sad
I'm really hollow this morning,sad
Today brings quite much sadness this evening,sad
I feel very crushing these days,sad
This is so disappointed lately,sad
I'm incredibly meaningless recently,sad
Life is absolutely empty this morning,sad
I feel completely despondent this evening,sad
I feel utterly angry this morning,angry
This brings me complete rage this evening,angry
I'm absolutely furious these days,angry
Life is totally unfair lately,angry
I'm really frustrated recently,angry
Everything feels quite infuriating this morning,angry
I feel very mad this evening,angry
This makes me so outraged these days,angry
I'm incredibly livid lately,angry
Today is absolutely annoying recently,angry
I feel completely incensed this morning,angry
This brings me totally anger this evening,angry
I'm really fed up these days,angry
Life couldn't be quite more unfair lately,angry
I feel very enraged recently,angry
This is so maddening this morning,angry
I'm incredibly hostile this evening,angry
Everything feels absolutely wrong these days,angry
I feel completely aggressive lately,angry
This makes me totally boil recently,angry
I'm really indignant this morning,angry
Today brings quite much anger this evening,angry
I feel very resentful these days,angry
This is so ridiculous lately,angry
